
Survey Date: 4/18/2023
Customer: RN UVATNEFTEGAZ-UVAT
Job: W9230131
Well: 392G
Field: Radonezhskoe
Rig: UV RD Rig1
Location: Uvat

End Depth: 4127.996 m
End TVD: 2955.320 m
Vertical Section: 1900.140 m @ 177.30 deg
Horizontal Displacement: 1900.318 m @ 176.52

Method: Minimum Curvature
Magnetic Reference: True North
Target Direction: 177.30 deg
Total Magnetic Field: 59028 nT
Magnetic Dip Angle: 76.89 deg
Magnetic Declination: 15.68 deg
Grid Convergence: 0.00 deg
Total Correction: 15.68 deg

Tie-On Depth: 0.000 m
Tie-On TVD: 0.000 m
Tie-On Inclination: 0.00 deg
Tie-On Azimuth: 0.00 deg
Tie-On NS: 0.000 m
Tie-On EW: 0.000 m

Time	Depth (m)	Gx (g)	Gy (g)	Gz (g)	BX (nT)	BY (nT)	BZ (nT)
12/31/06 14:00:02	0.000						
12/31/06 14:00:03	59.399						
12/31/06 14:00:04	86.999						
12/31/06 14:00:05	115.400						
12/31/06 14:00:06	143.600						
12/31/06 14:00:07	172.099						
12/31/06 14:00:08	200.299						
12/31/06 14:00:09	228.701						
12/31/06 14:00:10	256.901						
12/31/06 14:00:11	285.201						
12/31/06 14:00:12	313.401						
12/31/06 14:00:13	341.699						
12/31/06 14:00:14	370.000						
12/31/06 14:00:15	398.401						
12/31/06 14:00:16	426.699						
12/31/06 14:00:17	454.899						
12/31/06 14:00:18	483.099						
12/31/06 14:00:19	511.400						
12/31/06 14:00:20	539.600						
12/31/06 14:00:21	567.800						
12/31/06 14:00:22	596.000						
12/31/06 14:00:23	624.200						
12/31/06 14:00:24	652.299						
12/31/06 14:00:25	680.500						
12/31/06 14:00:26	708.800						
12/31/06 14:00:27	737.000						
12/31/06 14:00:28	765.200						
12/31/06 14:00:29	793.400						
12/31/06 14:00:30	821.701						
12/31/06 14:00:31	849.999						
12/31/06 14:00:32	878.199						
12/31/06 14:00:33	906.399						
12/31/06 14:00:34	934.599						
12/31/06 14:00:35	962.799						
12/31/06 14:00:36	991.100						
12/31/06 14:00:37	1003.399						
04/05/23 01:56:30	1037.301						
04/05/23 02:19:49	1065.499						
04/05/23 02:52:29	1093.799						
04/05/23 03:29:03	1121.999						
04/05/23 04:16:14	1150.300						
04/05/23 04:41:40	1178.500						
04/05/23 05:19:05	1206.700						
04/05/23 05:54:56	1235.101						
04/05/23 06:24:23	1263.701						
04/05/23 07:03:09	1292.001						
04/05/23 07:37:04	1320.400						
04/05/23 08:04:29	1348.600						
04/05/23 08:39:44	1376.800						
04/05/23 09:12:22	1405.000						
04/05/23 09:47:08	1433.301						
04/05/23 10:30:59	1461.501						
04/05/23 11:03:35	1489.701						
04/05/23 11:50:43	1518.099						
04/05/23 12:40:18	1546.299						
04/05/23 13:19:00	1574.499						
04/05/23 14:04:13	1602.800						
04/05/23 14:57:28	1631.000						
04/05/23 15:48:29	1659.301						
04/05/23 16:50:12	1687.601						
04/05/23 17:28:09	1715.801						
04/05/23 18:05:05	1743.999						
04/05/23 18:42:42	1772.299						
04/05/23 19:21:54	1800.499						
04/05/23 19:58:58	1828.699						
04/05/23 21:41:48	1856.229						
04/05/23 20:39:47	1857.000						
04/05/23 21:30:40	1885.200						
04/05/23 22:48:10	1913.400						
04/05/23 23:48:12	1941.701						
04/06/23 00:46:12	1969.901						
04/06/23 01:40:39	1998.199						
04/06/23 03:26:13	2026.399						
04/06/23 04:16:46	2054.599						
04/06/23 05:21:51	2082.799						
04/06/23 06:01:08	2110.999						
04/06/23 06:48:49	2139.300						
04/06/23 07:37:57	2167.600						
04/06/23 08:25:29	2195.801						
04/06/23 09:36:17	2224.199						
04/06/23 10:38:36	2252.399						
04/06/23 12:00:14	2280.700						
04/06/23 13:19:10	2308.900						
04/06/23 14:14:11	2337.200						
04/06/23 15:43:10	2365.400						
04/06/23 16:38:59	2393.600						
04/06/23 18:16:00	2421.901						
04/06/23 19:43:14	2450.199						
04/06/23 22:26:57	2478.399						
04/07/23 01:04:50	2506.599						
04/07/23 03:32:30	2534.900						
04/07/23 05:44:36	2563.301						
04/07/23 07:36:14	2591.800						
04/07/23 09:16:50	2620.299						
04/07/23 11:25:44	2648.901						
04/07/23 13:31:38	2677.400						
04/07/23 15:48:35	2705.801						
04/07/23 18:57:12	2734.099						
04/07/23 21:00:21	2762.601						
04/07/23 22:50:46	2791.099						
04/08/23 00:15:47	2819.400						
04/08/23 01:45:27	2847.600						
04/08/23 03:13:43	2875.800						
04/08/23 04:43:46	2904.101						
04/08/23 06:01:41	2932.402						
04/08/23 08:47:02	2960.599						
04/08/23 10:16:35	2988.899						
04/08/23 12:28:37	3017.200						
04/08/23 14:04:20	3045.601						
04/08/23 15:45:57	3073.999						
04/08/23 17:48:18	3102.300						
04/08/23 19:42:36	3130.500						
04/08/23 21:50:07	3158.901						
04/08/23 23:44:36	3187.199						
04/09/23 01:35:52	3215.500						
04/09/23 03:33:56	3243.901						
04/09/23 05:04:32	3272.199						
04/09/23 06:54:56	3300.399						
04/09/23 08:30:59	3314.499						
04/09/23 09:41:26	3328.699						
04/09/23 11:54:32	3342.800						
04/09/23 12:51:16	3357.000						
04/09/23 14:13:52	3358.299						
04/15/23 19:28:43	3377.300	0.978256	0.220862	0.040940	55632	16690	-11205
04/15/23 21:12:04	3405.601	0.645348	-0.769246	0.012928	40118	-41606	-12380
04/15/23 23:25:13	3433.801	-0.830656	-0.565622	0.003232	-45446	-35651	-12929
04/16/23 00:44:21	3448.001	0.377081	0.929775	0.003232	18022	54691	-12929
04/16/23 01:39:05	3462.199	1.003036	0.031244	0.003232	57277	5877	-12929
04/16/23 03:07:28	3476.399	0.427718	0.907150	-0.004310	20686	53673	-13242
04/16/23 03:51:41	3490.600	-0.649657	0.761704	0.023702	-40744	41136	-11596
04/16/23 05:10:17	3504.801	-0.972870	0.245641	0.011851	-56885	9951	-12302
04/16/23 06:24:53	3518.901	0.836043	-0.554848	0.024780	50617	-28208	-11518
04/16/23 07:55:47	3533.101	-0.201469	0.982566	0.033399	-16219	55710	-10891
