#;Дата/Время;MD;TVD;INC;AZ;Gx;Gy;Gz;Bx;By;Bz;INC(Main);AZ_TRUE(Main);AZ_CORR(Main)
11;3 Apr 2023 22:00:20;3721.68;2606.61;54.11;43.89;-0.44040;0.68130;0.58700;0.29330;-0.29220;0.50550;54.11;42.65;55.88
12;3 Apr 2023 23:57:23;3732.32;2612.70;56.06;44.50;0.51840;0.64850;0.55880;-0.20190;-0.35190;0.39820;56.06;45.90;41.86
13;4 Apr 2023 02:46:22;3741.58;2617.71;58.40;47.05;0.62040;0.58400;0.52420;-0.26290;-0.34490;0.39530;58.40;47.92;47.05
14;4 Apr 2023 05:23:30;3760.05;2627.18;59.90;49.48;0.66320;-0.55710;0.50200;-0.38650;0.22650;0.38710;59.90;49.20;49.48
15;4 Apr 2023 08:35:12;3778.58;2636.50;59.71;51.19;0.75400;-0.42290;0.50490;-0.42290;0.14680;0.38530;59.71;51.19;51.22
16;4 Apr 2023 11:36:09;3796.99;2645.99;58.22;53.82;-0.05010;-0.84950;0.52720;-0.05830;0.43630;0.39410;58.22;53.66;53.82
17;4 Apr 2023 14:13:53;3815.32;2655.93;56.14;53.81;0.82960;-0.04950;0.55770;-0.42170;-0.05890;0.41000;56.14;53.57;53.81
18;4 Apr 2023 18:34:19;3833.76;2666.32;55.25;54.94;0.17610;0.80320;0.57050;-0.00440;-0.42110;0.41470;55.25;54.77;54.94
19;4 Apr 2023 21:07:55;3852.31;2676.65;57.10;55.25;-0.34610;0.76570;0.54360;0.25410;-0.35190;0.40120;57.10;54.97;55.25
20;4 Apr 2023 23:38:01;3870.86;2686.50;58.72;54.84;0.67080;0.53070;0.51960;-0.28860;-0.33790;0.38890;58.72;54.71;54.84
21;5 Apr 2023 02:35:04;3889.39;2696.07;59.07;55.49;0.40350;0.75750;0.51430;-0.12920;-0.42810;0.38590;59.07;55.24;55.49
22;5 Apr 2023 04:28:15;3907.81;2705.48;59.52;56.77;0.42290;-0.75220;0.50780;-0.29510;0.34320;0.38010;59.52;56.65;56.77
23;5 Apr 2023 06:37:57;3926.23;2714.86;59.29;57.49;0.65030;-0.56410;0.51140;-0.39360;0.22180;0.38120;59.29;57.32;57.49
24;5 Apr 2023 09:20:45;3944.68;2724.25;59.52;57.97;0.62800;0.59050;0.50730;-0.26050;-0.37070;0.37890;59.52;57.75;57.97
25;6 Apr 2023 08:27:12;3963.11;2733.64;59.17;57.53;0.16320;-0.84420;0.51310;-0.17260;0.41700;0.38180;59.17;57.41;57.53
26;6 Apr 2023 10:48:08;3981.48;2743.22;57.97;56.68;0.42813;0.73231;0.53070;-0.14095;-0.41817;0.39297;57.97;56.37;56.68
27;6 Apr 2023 12:45:29;3999.94;2753.18;56.76;55.60;0.11050;-0.83020;0.54890;-0.14210;0.40880;0.40230;56.76;55.55;55.60
28;6 Apr 2023 14:38:26;4018.45;2763.49;55.53;54.49;0.78970;-0.23940;0.56640;-0.42050;0.03840;0.41290;55.53;54.38;54.49
29;6 Apr 2023 17:12:35;4036.81;2774.09;53.93;54.12;0.77270;0.23940;0.58930;-0.35840;-0.19960;0.42580;53.93;53.80;54.12
30;6 Apr 2023 20:21:17;4055.22;2784.96;53.70;53.55;0.51720;0.61860;0.59220;-0.19140;-0.35960;0.42810;53.70;53.22;53.55
31;6 Apr 2023 22:19:25;4073.69;2795.86;53.96;52.84;0.68130;0.43630;0.58870;-0.29220;-0.28510;0.42700;53.96;52.55;52.84
32;7 Apr 2023 01:10:38;4092.06;2806.57;54.68;54.30;-0.81612;-0.03194;0.57875;0.40410;0.10051;0.41934;54.68;54.18;54.30
33;7 Apr 2023 03:09:57;4110.49;2817.26;54.42;54.26;0.24700;0.77570;0.58230;-0.04250;-0.41230;0.42170;54.42;54.03;54.26
34;7 Apr 2023 06:15:41;4128.93;2827.86;55.41;53.67;-0.77510;-0.27930;0.56820;0.36070;0.21830;0.41410;55.41;53.72;53.67
35;7 Apr 2023 09:22:48;4147.40;2837.92;58.62;53.58;-0.85250;-0.05950;0.52130;0.42990;0.11280;0.39000;58.62;53.73;53.58
36;7 Apr 2023 12:15:47;4165.94;2847.16;61.54;51.43;0.48210;0.73580;0.47680;-0.18200;-0.42230;0.37070;61.54;51.42;51.43
37;7 Apr 2023 15:09:19;4184.44;2855.66;63.79;51.22;-0.75690;0.48380;0.44220;0.43630;-0.18550;0.35310;63.79;51.18;51.22
38;7 Apr 2023 21:08:33;4202.89;2863.45;66.23;51.93;-0.80730;0.43340;0.40350;0.46270;-0.15740;0.33260;66.23;51.75;51.93
39;8 Apr 2023 02:30:52;4221.42;2870.28;70.49;50.32;-0.94100;0.07470;0.33440;0.51020;0.03660;0.29630;70.49;50.52;50.32
40;8 Apr 2023 05:49:31;4239.84;2875.70;75.33;47.99;0.42460;-0.87060;0.25350;-0.29630;0.44220;0.25700;75.33;47.87;47.99
41;8 Apr 2023 09:50:44;4258.41;2880.18;76.77;44.62;-0.75220;-0.61860;0.22890;0.36950;0.38890;0.24640;76.77;44.77;44.62
42;8 Apr 2023 16:07:06;4276.74;2884.19;77.92;43.08;-0.96620;0.15850;0.20950;0.54070;-0.02550;0.23710;77.92;43.27;43.08
43;8 Apr 2023 18:37:13;4286.02;2886.04;79.12;43.29;-0.57230;-0.79910;0.18900;0.26460;0.47740;0.22590;79.12;43.43;43.29
44;8 Apr 2023 21:55:50;4295.29;2887.68;80.44;42.92;0.94970;-0.26930;0.16620;-0.54300;0.08940;0.21420;80.44;42.96;42.92
