
Survey Date: 4/9/2023
Customer: RN UVAT-NG
Job: W9230133
Well: 1002G
Field: Sev-Tamarg
Rig: UV S Rig5
Location: UVAT

End Depth: 3336.918 m
End TVD: 2398.313 m
Vertical Section: 310.341 m @ 342.00 deg
Horizontal Displacement: 1988.386 m @ 260.98

Method: Minimum Curvature
Magnetic Reference: True North
Target Direction: 342.00 deg
Total Magnetic Field: 59103 nT
Magnetic Dip Angle: 76.43 deg
Magnetic Declination: 15.66 deg
Grid Convergence: 0.00 deg
Total Correction: 15.66 deg

Tie-On Depth: 0.000 m
Tie-On TVD: 0.000 m
Tie-On Inclination: 0.00 deg
Tie-On Azimuth: 0.00 deg
Tie-On NS: 0.000 m
Tie-On EW: 0.000 m

Time	Depth (m)	Gx (g)	Gy (g)	Gz (g)	BX (nT)	BY (nT)	BZ (nT)
04/03/23 22:50:12	0.000						
04/03/23 22:59:56	50.899						
04/03/23 23:01:29	79.099						
04/03/23 23:02:06	107.500						
04/03/23 23:03:00	135.801						
04/03/23 23:03:32	164.101						
04/03/23 23:03:57	192.399						
04/03/23 23:04:23	220.800						
04/03/23 23:04:45	249.299						
04/03/23 23:05:29	277.700						
04/03/23 23:05:56	306.101						
04/03/23 23:06:48	334.500						
04/03/23 23:07:10	362.901						
04/03/23 23:07:35	391.299						
04/03/23 23:09:23	419.600						
04/03/23 23:13:50	448.001						
04/03/23 23:14:15	476.399						
04/03/23 23:17:11	504.700						
04/03/23 23:22:36	533.001						
04/03/23 23:23:09	561.399						
04/03/23 23:23:38	589.800						
04/03/23 23:25:59	618.201						
04/03/23 23:26:24	646.600						
04/03/23 23:27:09	675.001						
04/03/23 23:27:54	703.399						
04/03/23 23:28:33	731.800						
04/03/23 23:29:53	760.199						
04/03/23 23:30:30	788.499						
04/03/23 23:31:59	816.901						
04/03/23 23:32:25	845.299						
04/03/23 23:32:52	873.700						
04/03/23 23:33:20	902.101						
04/03/23 23:33:48	930.399						
04/03/23 23:34:14	958.800						
04/03/23 23:34:36	987.201						
04/03/23 23:35:10	1015.600						
04/03/23 23:35:45	1034.930						
04/06/23 09:37:46	1079.800	0.398629	0.475122	0.788638	35495	26641	39726
04/06/23 10:20:40	1108.201	-0.004310	-0.681979	0.734770	-10578	-45759	36278
04/06/23 10:50:19	1136.700	0.491283	0.492360	0.722919	40118	24760	35965
04/06/23 11:10:16	1165.000	0.231636	0.673359	0.706758	25465	40744	34868
04/06/23 11:36:40	1193.399	-0.489128	-0.502057	0.717532	-39882	-25152	35730
04/06/23 11:56:39	1221.800	0.070029	-0.714300	0.700294	-6347	-47796	34554
04/06/23 12:32:09	1250.299	0.709990	-0.053869	0.705681	44897	-15122	35651
04/06/23 12:56:49	1278.700	-0.335064	0.637806	0.698139	-11205	46464	35103
04/06/23 13:33:11	1307.101	-0.595789	-0.393242	0.704603	-44505	-14652	36278
04/06/23 14:00:43	1335.499	0.647502	0.310284	0.699216	46386	8619	35965
04/06/23 14:36:28	1363.901	-0.575318	-0.494515	0.656121	-44035	-21626	33222
04/06/23 15:19:24	1392.299	0.046327	-0.769246	0.642115	-9638	-48423	32595
04/06/23 15:50:21	1420.700	0.790793	0.152987	0.596866	51009	-2977	29931
